file, isUniform, pvalue, time, timeout, N
/tmp/omega/84.sk_4_77.cnf, , , , , 
/tmp/omega/V7/s27_new_7_4.cnf, True, 1.0, 0.07887053489685059, False, 1000
/tmp/omega/57.sk_4_64.cnf, , , , , 
/tmp/omega/V7/s27_7_4.cnf, True, 1.0, 0.08642387390136719, False, 1000
/tmp/omega/V7/s420_7_4.cnf, , , , , 85899346000
/tmp/omega/V7/s420_new_7_4.cnf, , , , , 85899346000
/tmp/omega/29.sk_3_45.cnf, , , , , 
/tmp/omega/ProjectService3.sk_12_55.cnf, , , , , 
/tmp/omega/FMEasy/axTLS.cnf, , , , , 
/tmp/omega/FMEasy/toybox2.cnf, , , , , 
/tmp/omega/FMEasy/toybox.cnf, , , , , 
/tmp/omega/FMEasy/fiasco.cnf, , , , , 
/tmp/omega/80.sk_2_48.cnf, , , , , 
/tmp/omega/55.sk_3_46.cnf, , , , , 
/tmp/omega/19.sk_3_48.cnf, , , , , 
/tmp/omega/polynomial.sk_7_25.cnf, True, 1.0, 1.637620210647583, False, 1000
/tmp/omega/10.sk_1_46.cnf, , , , , 
/tmp/omega/V7/s298_7_4.cnf, True, 0.9999813877154167, 7622.509499788284, False, 656000
/tmp/omega/FeatureModels/FM-3.6.1-refined.cnf, True, 0.9999998996923912, 23.644997596740723, False, 263000
/tmp/omega/V7/s420_new1_7_4.cnf, , , , , 85899346000
/tmp/omega/V7/s1488_7_4.cnf, True, 0.9999999999999999, 9483.553045749664, False, 89000
/tmp/omega/27.sk_3_32.cnf, , , , , 671089000
/tmp/omega/V15/s420_new_15_7.cnf, , , , , 
/tmp/omega/V15/s27_15_7.cnf, True, 1.0, 0.09784650802612305, False, 1000
/tmp/omega/V7/s444_7_4.cnf, , , , , 128185000
/tmp/omega/V7/s510_7_4.cnf, , , , , 150733000
/tmp/omega/V7/s832a_7_4.cnf, , , 21649.769159317017, True, 8192000
/tmp/omega/V7/s820a_7_4.cnf, , , 21651.761462926865, True, 5919000
/tmp/omega/V7/s382_7_4.cnf, , , 21653.567857027054, True, 36998000
/tmp/omega/V7/s526a_7_4.cnf, , , 21655.01215815544, True, 73401000
/tmp/omega/V7/s526_7_4.cnf, , , 21654.953102827072, True, 62915000
/tmp/omega/V7/s344_7_4.cnf, , , 21653.81689810753, True, 83887000
/tmp/omega/V7/s349_7_4.cnf, , , 21655.43298125267, True, 83887000
/tmp/omega/V15/s27_new_15_7.cnf, True, 1.0, 0.08150410652160645, False, 1000
/tmp/omega/V15/s420_15_7.cnf, , , , , 85899346000
/tmp/omega/77.sk_3_44.cnf, , , , , 
/tmp/omega/79.sk_4_40.cnf, , , , , 
/tmp/omega/V15/s526_15_7.cnf, , , 18275.391765356064, True, 83887000
/tmp/omega/109.sk_4_36.cnf, , , 18507.547791481018, True, 8891925000
/tmp/omega/110.sk_3_88.cnf, , , , , 
/tmp/omega/17.sk_3_45.cnf, , , , , 
/tmp/omega/7.sk_4_50.cnf, , , , , 
/tmp/omega/V15/s420_new1_15_7.cnf, , , , , 85899346000
/tmp/omega/V15/s444_15_7.cnf, , , 18322.85009264946, True, 41329000
/tmp/omega/SetTest.sk_9_21.cnf, , , 21347.049380779266, True, 1000
/tmp/omega/V3/s27_3_2.cnf, True, 1.0, 0.08037924766540527, False, 1000
/tmp/omega/registerlesSwap.sk_3_10.cnf, True, 0.999999999299189, 1167.4716053009033, False, 118000
/tmp/omega/V3/s298_3_2.cnf, True, 0.9995759058577401, 498.10504174232483, False, 328000
/tmp/omega/V15/s349_15_7.cnf, , , 18006.16682600975, True, 83887000
/tmp/omega/V15/s1488_15_7.cnf, True, 1.0, 5863.053713798523, False, 39000
/tmp/omega/V3/s27_new_3_2.cnf, True, 1.0, 0.07634258270263672, False, 1000
/tmp/omega/70.sk_3_40.cnf, , , , , 
/tmp/omega/V3/s953a_3_2.cnf, , , , , 
/tmp/omega/V15/s298_15_7.cnf, True, 0.9747909489257152, 6455.708654642105, False, 656000
/tmp/omega/V3/s420_new_3_2.cnf, , , , , 
/tmp/omega/V3/s420_3_2.cnf, , , , , 85899346000
/tmp/omega/V15/s820a_15_7.cnf, , , 19063.28918862343, True, 7230000
/tmp/omega/V3/s420_new1_3_2.cnf, , , , , 85899346000
/tmp/omega/V3/s1488_3_2.cnf, True, 1.0, 6128.642773628235, False, 33000
/tmp/omega/V15/s510_15_7.cnf, , , 20385.84374022484, True, 150733000
/tmp/omega/36.sk_3_77.cnf, , , , , 
/tmp/omega/tableBasedAddition.sk_240_1024.cnf, , , , , 
/tmp/omega/107.sk_3_90.cnf, , , , , 
