file, isUniform, pvalue, time, timeout, N
/tmp/omega/84.sk_4_77.cnf, , , , , 
/tmp/omega/V7/s27_new_7_4.cnf, True, 1.0, 19.039467573165894, False, 2000
/tmp/omega/tutorial1.sk_1_1.cnf, False, 7.744216431044088e-06, 132.807382106781, False, 2000
/tmp/omega/V7/s27_7_4.cnf, True, 1.0, 16.336341857910156, False, 2000
/tmp/omega/79.sk_4_40.cnf, , , , , 
/tmp/omega/77.sk_3_44.cnf, , , , , 
/tmp/omega/V7/s420_new1_7_4.cnf, , , , , 
/tmp/omega/V7/s420_7_4.cnf, , , , , 85899346000
/tmp/omega/110.sk_3_88.cnf, , , , , 
/tmp/omega/17.sk_3_45.cnf, , , , , 
/tmp/omega/V7/s420_new_7_4.cnf, , , , , 85899346000
/tmp/omega/V7/s298_7_4.cnf, False, 2.2250738585072014e-308, 8248.403857946396, False, 656000
/tmp/omega/V7/s510_7_4.cnf, , , , , 150734000
/tmp/omega/registerlesSwap.sk_3_10.cnf, False, 2.2250738585072014e-308, 1551.9436161518097, False, 118000
/tmp/omega/32.sk_4_38.cnf, , , , , 21474838000
/tmp/omega/V15/s510_15_7.cnf, , , , , 150734000
/tmp/omega/V7/s444_7_4.cnf, , , , , 128186000
/tmp/omega/V15/s420_15_7.cnf, , , , , 
/tmp/omega/V7/s526_7_4.cnf, , , 20115.77566432953, True, 62916000
/tmp/omega/V7/s1488_7_4.cnf, , , 20115.971382379532, True, 90000
/tmp/omega/V7/s526a_7_4.cnf, , , 20115.330342531204, True, 73402000
/tmp/omega/V7/s382_7_4.cnf, , , 20096.704870939255, True, 36998000
/tmp/omega/V7/s820a_7_4.cnf, , , 20120.938192605972, True, 5920000
/tmp/omega/V7/s832a_7_4.cnf, , , 20121.242885112762, True, 8192000
/tmp/omega/V7/s344_7_4.cnf, , , 20124.899641752243, True, 83888000
/tmp/omega/V7/s349_7_4.cnf, , , 20125.66460108757, True, 83888000
/tmp/omega/V15/s27_15_7.cnf, True, 1.0, 17.406217098236084, False, 2000
/tmp/omega/V15/s27_new_15_7.cnf, True, 1.0, 18.93064570426941, False, 2000
/tmp/omega/FMEasy/fiasco.cnf, , , , , 
/tmp/omega/FMEasy/toybox.cnf, , , , , 
/tmp/omega/FMEasy/toybox2.cnf, , , , , 
/tmp/omega/FMEasy/axTLS.cnf, , , , , 
/tmp/omega/tableBasedAddition.sk_240_1024.cnf, , , , , 
/tmp/omega/7.sk_4_50.cnf, , , , , 
/tmp/omega/107.sk_3_90.cnf, , , , , 
/tmp/omega/SetTest.sk_9_21.cnf, , , 20015.448099136353, True, 2000
/tmp/omega/ProjectService3.sk_12_55.cnf, , , , , 
/tmp/omega/V15/s420_new_15_7.cnf, , , , , 85899346000
/tmp/omega/10.sk_1_46.cnf, , , , , 
/tmp/omega/80.sk_2_48.cnf, , , , , 
/tmp/omega/36.sk_3_77.cnf, , , , , 
/tmp/omega/V15/s420_new1_15_7.cnf, , , , , 85899346000
/tmp/omega/70.sk_3_40.cnf, , , , , 
/tmp/omega/109.sk_4_36.cnf, , , , , 8891926000
/tmp/omega/V15/s382_15_7.cnf, , , , , 125830000
/tmp/omega/V3/s420_new_3_2.cnf, , , , , 
/tmp/omega/V15/s444_15_7.cnf, , , , , 41330000
/tmp/omega/V15/s1488_15_7.cnf, , , 19074.134973049164, True, 40000
/tmp/omega/V15/s298_15_7.cnf, , , 18640.241549491882, True, 656000
/tmp/omega/V15/s832a_15_7.cnf, , , 18107.804361104965, True, 37132000
/tmp/omega/V3/s420_new1_3_2.cnf, , , , , 85899346000
/tmp/omega/V3/s27_new_3_2.cnf, True, 1.0, 18.82074284553528, False, 2000
/tmp/omega/tutorial2.sk_3_4.cnf, , , 29856.860803842545, True, 2000
/tmp/omega/V3/s344_3_2.cnf, , , , , 83888000
/tmp/omega/V3/s420_3_2.cnf, , , , , 
/tmp/omega/V3/s953a_3_2.cnf, , , , , 
/tmp/omega/V3/s27_3_2.cnf, True, 1.0, 15.909005403518677, False, 2000
/tmp/omega/V15/s344_15_7.cnf, , , , , 83888000
/tmp/omega/V15/s820a_15_7.cnf, , , 18007.800741672516, True, 7230000
/tmp/omega/63.sk_3_64.cnf, , , , , 
/tmp/omega/V15/s349_15_7.cnf, , , 18009.411685705185, True, 83888000
/tmp/omega/55.sk_3_46.cnf, , , , , 
/tmp/omega/V15/s526_15_7.cnf, , , 18011.010714769363, True, 83888000
/tmp/omega/V15/s526a_15_7.cnf, , , 18006.827167272568, True, 83888000
/tmp/omega/FeatureModels/FM-3.6.1-refined.cnf, False, 2.2250738585072014e-308, 92.67100834846497, False, 264000
/tmp/omega/57.sk_4_64.cnf, , , , , 
/tmp/omega/35.sk_3_52.cnf, , , , , 
/tmp/omega/29.sk_3_45.cnf, , , , , 
/tmp/omega/19.sk_3_48.cnf, , , , , 
/tmp/omega/27.sk_3_32.cnf, , , 18002.872143268585, True, 671090000
/tmp/omega/Blasted_Real/blasted_case145.cnf, , , , , 
/tmp/omega/V3/s298_3_2.cnf, False, 2.2250738585072014e-308, 568.4543285369873, False, 328000
/tmp/omega/Blasted_Real/blasted_case34.cnf, , , , , 
/tmp/omega/Blasted_Real/blasted_case_2_b14_2.cnf, , , , , 
/tmp/omega/51.sk_4_38.cnf, , , , , 26172458000
/tmp/omega/Blasted_Real/blasted_case_3_b14_3.cnf, , , , , 
/tmp/omega/V3/s526_3_2.cnf, , , , , 41944000
/tmp/omega/V3/s820a_3_2.cnf, , , 19135.61192059517, True, 1988000
/tmp/omega/Blasted_Real/blasted_case15.cnf, , , , , 
/tmp/omega/V3/s382_3_2.cnf, , , 18454.186559438705, True, 36998000
/tmp/omega/Blasted_Real/blasted_case41.cnf, , , , , 
/tmp/omega/Blasted_Real/blasted_case39.cnf, , , , , 
/tmp/omega/Blasted_Real/blasted_case29.cnf, True, 1.0, 29.248284101486206, False, 4000
