file, isUniform, pvalue
freq_var, is uniform False, hmp 1.7738628963810026e-97
freq_var, is uniform False, hmp 2.1103620469406448e-221
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 4.029926374796867e-139
freq_var, is uniform False, hmp 1.7712436825736682e-67
freq_var, is uniform False, hmp 1.636618342632395e-223
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 4.334688010673909e-101
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 1.5574643342498219e-13
freq_var, is uniform False, hmp 5.6387350074688e-250
freq_var, is uniform False, hmp 3.4039547119782843e-261
freq_var, is uniform False, hmp 4.096148431528586e-205
freq_var, is uniform False, hmp 0.0008850583641657013
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 0.0
freq_var, is uniform True, hmp 0.034929492552556646
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 6.0894063103647184e-89
freq_var, is uniform True, hmp 0.07925114170918901
freq_var, is uniform False, hmp 8.949402493154459e-165
freq_var, is uniform False, hmp 2.4832471808973094e-110
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 1.152807331974083e-78
freq_var, is uniform True, hmp 0.34431650121064716
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 2.3185898623193603e-202
freq_var, is uniform True, hmp 0.049938303781189596
freq_var, is uniform False, hmp 0.0
freq_var, is uniform True, hmp 0.30084098078576055
freq_var, is uniform False, hmp 3.007154240827548e-67
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 1.0801256234030946e-46
freq_var, is uniform False, hmp 5.6167785311282155e-96
freq_var, is uniform False, hmp 0.0
freq_var, is uniform True, hmp 0.25536894279170236
freq_var, is uniform True, hmp 0.0172276445057574
freq_var, is uniform False, hmp 2.1645674348161203e-48
freq_var, is uniform False, hmp 1.5631787745255765e-46
freq_var, is uniform False, hmp 0.0
freq_var, is uniform True, hmp 0.12666028017655945
freq_var, is uniform True, hmp 0.6245298779287117
freq_var, is uniform False, hmp 2.844613293106733e-33
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 1.7025442960019326e-65
freq_var, is uniform False, hmp 2.807346069553963e-169
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 1.4333022168139938e-214
freq_var, is uniform False, hmp 6.3516592633516326e-68
freq_var, is uniform False, hmp 1.721495940221585e-244
freq_var, is uniform False, hmp 3.0117917529784276e-171
freq_var, is uniform False, hmp 3.22627650872326e-148
freq_var, is uniform False, hmp 1.3141552943746333e-197
freq_var, is uniform False, hmp 4.0664141084563536e-101
freq_var, is uniform True, hmp 0.06541613709286254
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 8.808742321500422e-101
freq_var, is uniform True, hmp 0.41218642111276504
freq_var, is uniform False, hmp 8.986063325792238e-305
freq_var, is uniform False, hmp 8.461813655439e-271
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 6.818869264488741e-239
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 0.0
freq_var, is uniform False, hmp 7.719556719784256e-100
freq_var, is uniform True, hmp 0.27077131885647676
freq_var, is uniform False, hmp 6.760403808509901e-291
